title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
Bijan Robinson 2025 Topps Chrome #16 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,2.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Bijan Robinson,16,,Atlanta Falcons,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107361-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107361-back.jpg
DJ Moore 2025 Topps Chrome #48 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,4.50,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,DJ Moore,48,,Chicago Bears,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107362-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107362-back.jpg
Joe Burrow 2025 Topps Chrome #61 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",6.00,4.00,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Joe Burrow,61,,Cincinnati Bengals,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107363-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107363-back.jpg
Derek Stingley Jr. 2025 Topps Chrome #116 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",4.00,2.82,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Derek Stingley Jr.,116,,Houston Texans,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107364-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107364-back.jpg
Will Reichard 2025 Topps Chrome #203 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,2.50,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Will Reichard,203,,Minnesota Vikings,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107365-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107365-back.jpg
Brian Burns 2025 Topps Chrome #234 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,1.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Brian Burns,234,,New York Giants,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107366-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107366-back.jpg
Jaylen Warren 2025 Topps Chrome #253 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",4.00,1.25,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Jaylen Warren,253,,Pittsburgh Steelers,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107367-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107367-back.jpg
Shavon Revel Jr. 2025 Topps Chrome #301 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,0.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Shavon Revel Jr.,301,RC,Dallas Cowboys,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107368-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107368-back.jpg
Josh Simmons 2025 Topps Chrome #304 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,1.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Josh Simmons,304,RC,Kansas City Chiefs,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107369-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107369-back.jpg
Jaxson Dart 2025 Topps Chrome #306 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",65.00,50.00,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Jaxson Dart,306,RC,New York Giants,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107370-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107370-back.jpg
Cam Ward 2025 Topps Chrome #314 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",30.00,20.00,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Cam Ward,314,RC,Tennessee Titans,,Near Mint or Better,No,,,,,,0,,,,141,,,xekq3-2,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107371-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107371-back.jpg
Omarion Hampton 2025 Topps Chrome #324 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",9.00,3.80,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Omarion Hampton,324,RC,Los Angeles Chargers,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-back.jpg
Tre Harris III 2025 Topps Chrome #338 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,2.27,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Tre Harris III,338,RC,Los Angeles Chargers,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107373-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107373-back.jpg
Harold Fannin Jr. 2025 Topps Chrome #339 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",6.00,4.00,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Harold Fannin Jr.,339,RC,Cleveland Browns,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107374-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107374-back.jpg
Mykel Williams 2025 Topps Chrome #352 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,1.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Mykel Williams,352,RC,San Francisco 49ers,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107375-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107375-back.jpg
Jalon Walker 2025 Topps Chrome #354 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,2.00,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Jalon Walker,354,RC,Atlanta Falcons,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107376-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107376-back.jpg
Jahdae Barron 2025 Topps Chrome #359 Football Leather Refractor - (),"<div class=""ql-editor""><p><span style=""background-color: rgb(255, 255, 255); color: rgb(25, 21, 47);"">See photos for condition. If you have any question about condition, please ask before buying.</span></p></div>",3.00,0.99,FOOTBALL,Yes,2025,Topps,2025 Topps Chrome,Football Leather Refractor,Jahdae Barron,359,RC,Denver Broncos,,Near Mint or Better,No,,,,,,0,,,,141,,,,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107377-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107377-back.jpg
